	Source 1	Source 2	Source 3	Source 4	Source 5	Source Sum
Page 5227	2976	6436	9351	4195	1106	24064
Page 7382	4191	8081	1647	4879	5266	24064
Page 6059	2257	3101	7375	2464	8868	24065
Page 9651	6080	574	7828	6618	2966	24066
Page 5583	4411	2588	2337	5988	8748	24072
Page 8564	4423	2965	7330	8254	1104	24076
Page 4373	6974	5272	2354	5231	4246	24077
Page 4873	57	9345	5903	3368	5405	24078
Page 2484	5869	994	6506	8466	2243	24078
Page 8209	7160	7843	4194	873	4013	24083
Page 3780	5849	7109	7012	2909	1206	24085
Page 6524	7358	9208	1236	1136	5150	24088
Page 4068	9926	8557	192	1783	3632	24090
Page 9970	1907	5707	3081	3668	9728	24091
Page 2086	7995	4360	2486	2907	6345	24093
Page 1571	6385	5006	7241	2315	3146	24093
Page 5491	6137	2770	4669	9050	1467	24093
Page 8528	9786	3770	2428	5474	2636	24094
Page 9471	5422	620	6364	6431	5257	24094
Page 4456	5927	2742	6215	7966	1248	24098
Page 4556	2731	6378	3748	6546	4698	24101
Page 8274	3654	641	3935	7668	8204	24102
Page 7239	6721	8807	1099	1603	5873	24103
Page 6458	2592	8496	3265	679	9073	24105
Page 2253	633	6128	6181	4208	6956	24106
Page 7231	8024	7716	2313	4224	1830	24107
Page 229	7726	702	8920	1834	4931	24113
Page 7090	1350	7640	6055	6937	2132	24114
Page 437	8809	1459	3752	5586	4508	24114
Page 1105	2289	1063	8613	9056	3094	24115
Page 4093	3650	7305	7544	5338	278	24115
Page 6101	71	6362	7988	1744	7951	24116
Page 5119	2400	5195	4494	8899	3128	24116
Page 1513	1090	9820	3993	2566	6652	24121
Page 6824	4183	2292	6917	7107	3630	24129
Page 8544	9972	738	5412	2202	5806	24130
Page 9919	3284	6168	9949	2030	2702	24133
Page 3050	8484	965	1011	6226	7449	24135
Page 1319	3733	4197	7215	3322	5671	24138
Page 9870	5002	8934	1131	8968	104	24139
Page 5121	6656	7457	7348	1631	1049	24141
Page 183	6659	9786	4589	1639	1472	24145
Page 9715	8374	1485	3732	726	9829	24146
Page 5749	4663	7280	3309	3851	5043	24146
Page 6365	3617	8444	9047	2276	763	24147
Page 1922	9498	184	3308	6019	5139	24148
Page 7750	2118	4735	6946	5484	4865	24148
Page 4573	4486	3769	2916	5337	7641	24149
Page 4487	7198	6359	3264	3264	4064	24149
Page 5841	660	3443	7816	2546	9687	24152
Page 1151	4025	3902	4523	5588	6115	24153
Page 455	8775	2838	1956	7820	2764	24153
Page 9326	907	9787	6553	5580	1330	24157
Page 6908	7349	8566	2761	4636	847	24159
Page 880	809	2562	6084	9297	5408	24160
Page 2062	4483	6585	1258	3284	8554	24164
Page 8037	7961	7021	570	7880	733	24165
Page 4357	3393	4714	6501	6458	3099	24165
Page 1582	9278	3862	2410	1846	6769	24165
Page 9460	3306	1093	4152	8729	6890	24170
Page 3973	5662	6134	5615	1379	5380	24170
Page 1294	6342	8100	1662	2862	5204	24170
Page 5419	3021	3650	4155	5727	7618	24171
Page 215	252	7219	1530	8392	6780	24173
Page 7293	6796	5430	2760	248	8941	24175
Page 74	2350	9162	586	9506	2573	24177
Page 3955	7097	2951	253	7127	6751	24179
Page 3638	4170	1516	7427	2447	8619	24179
Page 1910	2774	5396	4990	7716	3305	24181
Page 7113	2101	9217	4718	2489	5657	24182
Page 8368	2925	532	9099	5715	5912	24183
Page 1999	1091	9982	9447	3093	572	24185
Page 7193	6564	4935	1942	2663	8082	24186
Page 4716	7855	3242	3775	9049	266	24187
Page 6157	1174	3889	7062	6633	5430	24188
Page 4301	2405	5814	3180	3244	9546	24189
Page 3939	4224	6821	6605	2546	3995	24191
Page 2078	8209	6018	6965	2280	722	24194
Page 9507	1848	4474	1002	6952	9920	24196
Page 8033	7023	1613	9070	1989	4502	24197
Page 7451	1454	2781	81	9894	9987	24197
Page 7439	6092	1291	6373	9418	1024	24198
Page 884	5729	2413	2329	6486	7241	24198
Page 5791	1352	6516	3674	8238	4421	24201
Page 1222	7797	3727	6130	451	6096	24201
Page 9639	2270	8502	8058	5011	361	24202
Page 5477	38	6023	2625	9732	5788	24206
Page 1252	8979	7277	1983	3824	2146	24209
Page 904	9772	9324	1617	211	3286	24210
Page 5404	231	1913	4063	9145	8859	24211
Page 5869	3189	6083	7588	352	7008	24220
Page 70	2472	8208	5293	131	8116	24220
Page 574	1432	4782	2770	5547	9693	24224
Page 3825	5870	2080	4199	3151	8930	24230
Page 6825	7848	2205	4250	7246	2681	24230
Page 3015	512	8924	8565	3259	2971	24231
Page 5381	2722	4448	7836	2274	6951	24231
Page 3010	4568	1270	8631	2312	7452	24233
Page 5607	8352	4233	7630	1085	2933	24233
Page 2914	1717	2023	7993	9535	2970	24238
Page 8120	2931	6863	3723	3784	6937	24238
Page 6028	5260	363	4431	7839	6351	24244
Page 610	397	1316	4575	8054	9902	24244
Page 5338	3962	1195	9928	3946	5213	24244
Page 3481	3277	7410	301	6286	6972	24246
Page 2478	8278	4205	6403	4338	1022	24246
Page 2337	9131	9934	740	3934	509	24248
Page 5993	2452	3925	3477	7192	7202	24248
Page 200	3992	9706	1009	3872	5670	24249
Page 6232	4329	191	7710	8067	3957	24254
Page 2350	7807	354	4609	7257	4232	24259
Page 9537	2875	936	7404	9003	4044	24262
Page 8680	440	8708	3343	7585	4187	24263
Page 8086	9422	1196	1341	8724	3582	24265
Page 9636	2832	4875	4626	3446	8488	24267
Page 2845	1975	576	7680	7661	6376	24268
Page 7747	3036	2697	6148	5672	6716	24269
Page 154	6026	9528	1377	4219	3119	24269
Page 7065	5579	203	6350	4514	7624	24270
Page 1933	4193	1303	9577	4902	4296	24271
Page 4727	3119	8270	8086	87	4709	24271
Page 5190	1404	3400	6063	8655	4750	24272
Page 5662	5611	6414	8712	789	2751	24277
Page 4305	3525	5499	4132	8912	2210	24278
Page 5001	6610	3289	2370	4379	7633	24281
Page 5651	1708	4285	5762	9083	3443	24281
Page 1440	8327	9603	1742	2957	1653	24282
Page 7591	2913	5661	4372	7394	3942	24282
Page 51	8604	3736	3538	2105	6301	24284
Page 1059	3282	79	6469	7189	7267	24286
Page 5434	8740	5559	4149	1436	4406	24290
Page 1208	4939	7901	218	4914	6318	24290
Page 9772	4614	5502	1853	9013	3309	24291
Page 1425	629	1483	9428	9752	3002	24294
Page 4189	6135	6215	703	6320	4922	24295
Page 2799	8837	4621	7816	2276	747	24297
Page 4697	7376	7323	3735	5530	338	24302
Page 3341	4315	3414	7823	2748	6002	24302
Page 5598	5667	5834	2709	9341	756	24307
Page 3905	2239	3004	8544	1722	8799	24308
Page 3796	9577	5355	5502	3280	595	24309
Page 95	2120	2717	2016	9852	7605	24310
Page 4248	6929	8904	1185	4048	3247	24313
Page 1400	3425	8378	861	3077	8573	24314
Page 2777	3957	6009	1257	4629	8469	24321
Page 5341	3041	342	8830	5613	6497	24323
Page 442	3275	3406	6007	5854	5784	24326
Page 2576	2150	6628	3990	4675	6884	24327
Page 5910	2644	4283	6623	3471	7307	24328
Page 7715	5324	5390	4961	1242	7411	24328
Page 3566	7993	9115	269	308	6645	24330
Page 4571	3786	7028	4322	1985	7210	24331
Page 5960	6823	547	4228	5955	6781	24334
Page 3056	6206	8958	8449	677	48	24338
Page 5649	6729	9290	4796	2798	731	24344
Page 6898	4124	1793	9159	6969	2301	24346
Page 2242	7798	1204	3519	5405	6421	24347
Page 3635	6294	847	8545	2705	5959	24350
Page 5882	3830	6849	4801	4218	4652	24350
Page 3091	4294	824	4064	6655	8514	24351
Page 340	2318	931	8931	6907	5264	24351
Page 4889	1210	8813	116	7682	6536	24357
Page 9155	1771	4261	5865	7797	4665	24359
Page 553	2348	9587	4200	5309	2916	24360
Page 6751	3343	4869	3883	9347	2922	24364
Page 230	4692	2172	4064	3894	9544	24366
Page 5296	5854	886	4828	5810	6990	24368
Page 447	3894	4514	7151	2976	5846	24381
Page 3815	5985	588	7637	312	9859	24381
Page 579	7704	165	6459	2880	7174	24382
Page 9131	7017	5162	3471	7399	1335	24384
Page 255	3556	4766	4348	6310	5405	24385
Page 5715	7865	4672	1948	1078	8823	24386
Page 9087	1686	5723	5172	6150	5656	24387
Page 4516	3761	1378	7797	6168	5285	24389
Page 3816	680	7210	3959	8054	4486	24389
Page 8522	3522	5390	274	5473	9731	24390
Page 6409	6114	8078	5766	1067	3367	24392
Page 3861	2906	1467	2665	9151	8207	24396
Page 8798	132	3954	8880	1638	9793	24397
Page 8456	3490	4335	6073	3606	6897	24401
Page 8983	2445	2706	8620	2811	7821	24403
Page 1872	5438	2903	6083	4209	5771	24404
Page 9798	4480	2328	3488	6602	7507	24405
Page 197	537	2966	2178	9756	8970	24407
Page 3398	7065	7269	3916	2615	3543	24408
Page 4570	2303	6807	3766	3539	7996	24411
Page 2400	2390	6927	8366	4379	2351	24413
Page 3465	3481	9047	2811	6717	2358	24414
Page 2890	8438	660	6476	2400	6440	24414
Page 3115	5247	829	7137	5675	5530	24418
Page 9529	723	9011	5353	8763	569	24419
Page 4000	5867	6679	5430	5242	1201	24419
Page 3847	3141	9407	6054	610	5208	24420
Page 1268	2723	6192	731	6750	8024	24420
Page 4820	5934	1707	7449	5887	3443	24420
Page 6078	6397	1935	3197	3781	9113	24423
Page 5026	1989	6006	2908	8138	5384	24425
Page 1328	6647	4897	1735	1523	9625	24427
Page 5441	169	5840	2273	9985	6160	24427
Page 2485	854	8462	8316	5866	930	24428
Page 3687	2140	42	5060	8822	8364	24428
Page 9570	4298	5468	7526	5649	1487	24428
Page 4687	8238	7693	5535	2598	368	24432
Page 6590	4137	9400	2515	2224	6156	24432
Page 98	9319	8249	1658	1406	3801	24433
Page 9846	2292	8611	5391	6616	1524	24434
Page 7438	3187	4892	7066	2927	6363	24435
Page 8433	6757	1881	3945	7935	3920	24438
Page 5125	5720	141	3773	8947	5857	24438
Page 2743	1901	756	8963	8322	4497	24439
Page 5309	4388	2561	9051	5303	3139	24442
Page 3603	1947	7473	3604	4088	7331	24443
Page 1510	6804	3631	3974	3761	6275	24445
Page 8785	7028	79	1020	7217	9103	24447
Page 671	6818	5624	1336	9993	676	24447
Page 4515	1264	9563	2481	4680	6459	24447
Page 5284	6164	5202	9252	3282	549	24449
Page 2170	2723	2591	1894	9738	7503	24449
Page 2681	8919	5317	1020	3245	5949	24450
Page 5082	1876	1630	6468	5513	8965	24452
Page 9390	3540	8728	4939	4906	2340	24453
Page 4410	1292	2902	5498	9953	4809	24454
Page 3805	4997	539	7143	6240	5535	24454
Page 3454	1780	7821	9837	2949	2068	24455
Page 4550	8738	1378	7595	2038	4708	24457
Page 1526	6835	3697	5458	6775	1695	24460
Page 9235	3116	6861	2885	7485	4114	24461
Page 3704	5349	471	5800	9175	3666	24461
Page 3019	7880	3409	2958	8311	1904	24462
Page 7934	180	8007	7152	1331	7794	24464
Page 1231	1640	6522	4324	2026	9953	24465
Page 9769	9856	3318	5349	5785	161	24469
Page 1998	8745	2012	8528	1197	3988	24470
Page 1018	6005	6019	2068	7693	2685	24470
Page 7427	3075	8084	4791	8260	261	24471
Page 9120	1614	707	8665	5853	7634	24473
Page 5247	5689	2531	9091	6379	785	24475
Page 1129	2264	6056	8676	3038	4446	24480
Page 7330	5918	1605	4263	8161	4533	24480
Page 201	8021	5042	1761	2344	7314	24482
Page 1521	4423	710	8942	8149	2259	24483
Page 9670	2801	5738	7611	5233	3103	24486
Page 4241	6544	4162	7261	5316	1209	24492
Page 2553	8852	8668	702	3716	2557	24495
Page 8892	5673	7919	1707	1753	7444	24496
Page 4884	6331	410	4017	4286	9452	24496
Page 4531	7295	4154	4517	2892	5640	24498
Page 1501	8329	8008	2050	4505	1608	24500
Page 8731	3009	5585	4349	2880	8678	24501
Page 9021	8376	11	7059	7906	1150	24502
Page 8661	7797	3331	4939	4880	3557	24504
Page 2359	8945	3164	532	6177	5688	24506
Page 3683	4655	6708	4210	8397	538	24508
Page 5315	9131	6338	2756	178	6110	24513
Page 831	8003	6770	2940	1120	5682	24515
Page 901	5082	880	1147	8316	9091	24516
Page 3067	4583	7599	5920	5677	738	24517
Page 2217	1531	5789	6019	8488	2692	24519
Page 3315	7134	2719	8704	4059	1903	24519
Page 288	7261	8863	3408	3291	1699	24522
Page 8602	5370	3124	4619	6508	4902	24523
Page 7695	4862	4701	4947	2292	7725	24527
Page 4790	3758	4444	9468	5701	1158	24529
Page 9378	9729	3756	4568	3826	2650	24529
Page 1756	3153	9717	8379	2990	296	24535
Page 4178	877	1263	9275	9343	3778	24536
Page 8511	6196	7207	4255	2336	4545	24539
Page 5557	6230	7270	2316	8164	560	24540
Page 3926	9619	2440	3733	2744	6007	24543
Page 5783	9079	7560	4902	1757	1245	24543
Page 137	3163	9803	1903	666	9011	24546
Page 3373	1919	6452	4451	8299	3427	24548
Page 7064	3036	842	8480	9349	2842	24549
Page 1728	4997	9658	422	2050	7423	24550
Page 559	9740	80	4829	1261	8640	24550
Page 3675	6121	7231	5404	824	4970	24550
Page 5418	7696	6098	6720	1638	2404	24556
Page 4272	1150	7479	4127	9396	2407	24559
Page 4936	9724	2364	5490	4624	2359	24561
Page 8103	5871	5737	5170	4157	3626	24561
Page 4411	2374	1666	6591	6754	7176	24561
Page 7989	5615	2928	3519	8053	4446	24561
Page 6051	5978	9180	2692	6283	429	24562
Page 7048	8369	1386	2192	5018	7598	24563
Page 8864	5103	9901	1785	6582	1192	24563
Page 6693	6726	9536	890	310	7103	24565
Page 1595	25	9251	5462	7945	1883	24566
Page 3814	4325	8378	751	9293	1820	24567
Page 5559	5939	9204	905	2275	6246	24569
Page 7833	8323	2904	3307	6782	3254	24570
Page 9193	8081	826	9541	5537	586	24571
Page 761	4180	8918	590	2489	8396	24573
Page 663	3672	454	5197	7662	7588	24573
Page 5267	2256	9183	4875	2007	6254	24575
Page 9579	955	6478	6996	3578	6572	24579
Page 7683	4919	9607	1762	163	8128	24579
Page 3111	8755	3100	3363	6546	2817	24581
Page 4668	7603	1375	6457	7571	1575	24581
Page 6981	7266	2426	1461	5345	8083	24581
Page 4465	2592	3838	5607	3686	8860	24583
Page 6292	3283	1723	4968	6011	8598	24583
Page 1852	9390	5460	4379	36	5320	24585
Page 4655	647	9811	2052	5672	6405	24587
Page 3571	3578	8775	524	3165	8546	24588
Page 9296	7235	2513	8950	1089	4808	24595
Page 1132	9425	5351	7245	227	2350	24598
Page 4849	7441	9077	4002	700	3379	24599
Page 302	5916	6942	2007	1096	8639	24600
Page 4128	9960	1011	1892	5288	6450	24601
Page 8551	5628	314	6931	7242	4489	24604
Page 6235	5998	1199	3158	6764	7486	24605
Page 3473	5350	3535	5639	3979	6103	24606
Page 243	5318	4409	1711	4163	9005	24606
Page 4345	3235	6740	3473	8940	2219	24607
Page 8210	1553	7494	9569	587	5405	24608
Page 3161	2369	8536	757	8211	4740	24613
Page 3553	6862	7891	4430	1711	3722	24616
Page 9623	859	3230	6782	7507	6240	24618
Page 7673	8673	5524	3067	914	6440	24618
Page 1517	7691	8331	3360	4421	818	24621
Page 1798	4687	5680	6766	4910	2578	24621
Page 8567	4854	5186	5952	6665	1965	24622
Page 3483	9504	3379	3388	3977	4375	24623
Page 722	5885	6491	4836	6943	468	24623
Page 7979	1601	6395	9794	3884	2951	24625
Page 5389	6191	6566	2669	6794	2405	24625
Page 390	7406	4119	3294	5018	4791	24628
Page 6505	3804	1064	6644	9635	3485	24632
Page 3647	1948	1382	3801	7915	9588	24634
Page 925	1027	4115	7146	8771	3576	24635
Page 8598	9622	6496	5648	1273	1598	24637
Page 6007	3521	4779	1475	5142	9721	24638
Page 7680	6803	200	8009	7866	1760	24638
Page 5000	3439	9312	75	5837	5976	24639
Page 3071	7648	1317	4063	2146	9471	24645
Page 6756	2629	4498	7209	539	9772	24647
Page 5887	8455	1340	3020	8642	3190	24647
Page 6335	8449	7631	24	5969	2580	24653
Page 2761	466	5113	9551	7367	2157	24654
Page 373	6267	7825	1710	6953	1902	24657
Page 4283	2402	2505	9384	4218	6150	24659
Page 8805	9545	5196	1620	2233	6065	24659
Page 3281	4685	4816	8812	3974	2375	24662
Page 5738	8347	3187	3829	1791	7508	24662
Page 9690	9801	3491	1127	8634	1612	24665
Page 4641	324	5142	9438	2730	7031	24665
Page 5019	1832	8723	2191	9197	2723	24666
Page 3679	5171	7727	5540	4542	1686	24666
Page 7905	3346	8625	5989	4163	2545	24668
Page 7420	5268	8726	4649	4737	1289	24669
Page 1909	7006	4450	3437	6645	3132	24670
Page 9939	6385	148	8941	9094	103	24671
Page 6391	8372	2708	3913	2438	7242	24673
Page 1089	4466	6786	493	9315	3613	24673
Page 1397	8144	6411	956	1636	7528	24675
Page 2492	6829	3023	9842	4628	356	24678
Page 186	3853	4854	4019	2825	9128	24679
Page 204	2100	5473	6286	8870	1951	24680
Page 2605	4420	7599	1591	4429	6644	24683
Page 1480	7130	4652	2535	706	9662	24685
Page 2810	2805	9731	6888	114	5147	24685
Page 7381	5099	1680	9918	2152	5838	24687
Page 7185	8198	6091	2167	6538	1696	24690
Page 3278	7803	1183	5663	3339	6711	24699
Page 180	4623	6780	1927	6798	4572	24700
Page 5531	8659	6831	2395	6545	276	24706
Page 2079	6295	6318	3760	514	7822	24709
Page 9796	3491	4420	2823	8476	5501	24711
Page 3392	2435	7179	6281	5563	3253	24711
Page 7605	580	4957	5443	3805	9927	24712
Page 6191	5236	7092	9291	2764	330	24713
Page 9496	3667	8205	4761	7567	513	24713
Page 3734	2721	9886	1133	2201	8775	24716
Page 3294	1476	7965	4386	3880	7011	24718
Page 5589	1948	2189	6383	5321	8878	24719
Page 7055	6306	6032	4311	4805	3266	24720
Page 6577	6292	3302	6798	7874	455	24721
Page 1218	1581	3190	9930	4003	6018	24722
Page 4070	8677	9076	1039	1262	4669	24723
Page 6457	9844	1072	5120	5481	3208	24725
Page 8273	9832	810	2936	8390	2758	24726
Page 4883	1867	2124	8409	8800	3527	24727
Page 8098	1919	1821	8215	8196	4579	24730
Page 1959	7511	3193	4257	8710	1060	24731
Page 319	654	2552	6556	6329	8641	24732
Page 76	8490	6050	4035	4872	1286	24733
Page 3092	1724	7715	7890	7368	38	24735
Page 4675	3009	9944	3767	4792	3224	24736
Page 3199	7228	295	6775	9439	1002	24739
Page 5546	1967	8001	5120	757	8896	24741
Page 9595	7673	4377	1189	4527	6977	24743
Page 4364	9956	6180	198	6291	2119	24744
Page 978	8570	3085	9392	3465	232	24744
Page 4096	8388	5415	2191	4802	3948	24744
Page 8091	4370	6442	3479	9678	776	24745
Page 829	3953	7069	210	7186	6330	24748
Page 8314	3911	6097	6353	3061	5326	24748
Page 9246	3476	6778	8452	4324	1722	24752
Page 6452	3697	5931	3833	6785	4509	24755
Page 99	3009	8636	9606	1481	2025	24757
Page 9984	6459	4134	8864	2530	2770	24757
Page 8123	4875	575	6375	8603	4329	24757
Page 2633	7743	936	9153	6203	726	24761
Page 4179	7691	6673	3151	328	6923	24766
Page 4964	9623	2740	5643	2562	4198	24766
Page 9023	6896	29	7473	3052	7319	24769
Page 8964	4094	2166	8016	8312	2181	24769
Page 2106	2691	3654	2510	9696	6221	24772
Page 7723	8292	3347	6088	1723	5323	24773
Page 4796	1105	1005	6160	7084	9422	24776
Page 8019	548	2622	4200	8901	8507	24778
Page 2850	4020	1151	8344	5015	6251	24781
Page 8230	1499	9547	6514	4778	2447	24785
Page 363	3187	4420	1546	9916	5716	24785
Page 1842	1669	872	3473	9744	9028	24786
Page 4709	8359	3833	1591	9107	1897	24787
Page 7174	4224	3957	5200	8128	3284	24793
Page 321	2237	5142	4746	9302	3366	24793
Page 67	9677	3462	9528	1052	1075	24794
Page 8515	857	5242	8208	6278	4210	24795
Page 7840	6242	4568	8980	338	4668	24796
Page 529	6935	7564	5114	806	4377	24796
Page 2611	5326	9181	3912	74	6303	24796
Page 844	6898	5532	3751	5384	3232	24797
Page 2889	7135	4418	5031	6507	1706	24797
Page 2841	7554	6128	2444	3694	4979	24799
Page 6397	5684	4592	4008	6088	4430	24802
Page 454	2702	8709	4389	1109	7894	24803
Page 8277	3113	468	5395	7885	7944	24805
Page 6461	1103	2270	6026	5772	9635	24806
Page 8994	7991	2535	2500	3150	8632	24808
Page 1836	8023	4422	6780	4937	646	24808
Page 29	9602	7018	3755	376	4058	24809
Page 8871	5635	4257	8444	3406	3070	24812
Page 5671	1595	5917	7554	169	9580	24815
Page 4548	2904	2141	2222	9679	7871	24817
Page 6721	4318	531	5324	9035	5611	24819
Page 9865	6975	8297	5666	2573	1312	24823
Page 2186	6282	7063	1071	437	9970	24823
Page 9835	2114	7360	6742	8265	345	24826
Page 9716	1585	6756	7828	1296	7361	24826
Page 4521	2537	2563	2744	8365	8617	24826
Page 6939	6610	659	2703	6751	8104	24827
Page 1096	3737	3052	2156	6000	9883	24828
Page 5758	3923	3243	4668	8704	4291	24829
Page 8244	6589	3420	8243	2266	4311	24829
Page 3252	3936	4599	2526	9384	4386	24831
Page 1175	3854	5138	364	6023	9453	24832
Page 993	9122	3380	5750	4317	2263	24832
Page 9175	7270	2214	7095	6234	2019	24832
Page 2784	5378	5197	9682	2806	1772	24835
Page 4376	2481	9735	8261	2886	1473	24836
Page 1860	1778	2936	9335	1268	9519	24836
Page 6068	5615	6907	4355	463	7497	24837
Page 7444	8163	3946	7886	2345	2500	24840
Page 7837	4825	8050	5129	5307	1529	24840
Page 1389	3494	7236	167	6026	7917	24840
Page 1697	221	7592	8166	2701	6161	24841
Page 3852	5404	4775	9873	1008	3783	24843
Page 5028	9129	1006	1918	7936	4857	24846
Page 6909	9166	6238	245	7195	2003	24847
Page 7772	6649	4257	1433	5284	7224	24847
Page 5355	9178	9090	1430	403	4746	24847
Page 6491	4091	3029	1313	6801	9613	24847
Page 1226	2067	5726	3770	9528	3757	24848
Page 213	4438	7309	3669	9187	246	24849
Page 9481	7513	8633	1175	1347	6186	24854
Page 2295	2747	9429	6743	4902	1037	24858
Page 5770	4554	8748	4921	5089	1547	24859
Page 2527	7451	4656	8849	2751	1154	24861
Page 59	2458	3932	3665	8067	6739	24861
Page 6411	2892	9931	3047	2924	6068	24862
Page 4885	8222	1421	6474	624	8121	24862
Page 2128	5795	6694	2271	9750	353	24863
Page 5622	2627	3112	6057	7230	5839	24865
Page 2182	6122	7803	2851	5379	2711	24866
Page 1828	5212	685	3477	6924	8570	24868
Page 8802	7348	2338	3089	7984	4110	24869
Page 7689	7011	4576	7129	882	5275	24873
Page 822	6239	5361	5349	2836	5090	24875
Page 4640	214	6873	6674	8734	2380	24875
Page 2075	7671	6440	2772	3975	4021	24879
Page 292	9325	4968	2794	450	7343	24880
Page 25	9938	17	9760	1099	4067	24881
Page 139	2152	8783	4778	8627	545	24885
Page 2328	3445	2478	8668	5775	4523	24889
Page 9773	5248	705	7458	3697	7784	24892
Page 3884	9057	3360	276	8789	3422	24904
Page 1676	4950	1641	5324	7661	5328	24904
Page 365	8938	3776	1710	1786	8696	24906
Page 1336	2479	7312	8315	30	6773	24909
Page 4523	237	7238	5367	6158	5911	24911
Page 9288	7752	3017	1921	3317	8906	24913
Page 379	9388	2994	2179	3805	6547	24913
Page 256	3544	9252	232	3945	7942	24915
Page 3205	364	8548	9391	6503	111	24917
Page 1083	1176	8515	8265	6484	477	24917
Page 3078	4384	1479	3634	5699	9723	24919
Page 5820	6248	7997	7059	390	3225	24919
Page 675	8008	854	1743	7303	7011	24919
Page 8902	3054	8578	1309	4457	7525	24923
Page 9791	9158	5038	2392	6364	1973	24925
Page 8952	1588	6537	4829	6266	5706	24926
Page 979	6795	4799	1000	6253	6079	24926
Page 9713	2762	7082	6121	5978	2983	24926
Page 2090	4749	9694	4052	6118	321	24934
Page 5755	885	7838	7871	363	7978	24935
Page 1479	4337	3960	5264	1655	9719	24935
Page 7145	7033	381	3158	8389	5978	24939
Page 8535	5265	1101	9070	7218	2288	24942
Page 4434	5566	4626	5162	4173	5416	24943
Page 7600	9702	2312	6460	3118	3353	24945
Page 9914	2349	8725	5329	7668	880	24951
Page 2975	6013	1741	5554	3337	8306	24951
Page 1227	882	7433	4853	1819	9971	24958
Page 7188	7204	3211	5826	8088	634	24963
Page 2418	6791	7442	314	807	9613	24967
Page 7435	5786	6065	6298	2851	3968	24968
Page 9367	5628	8554	3319	6624	844	24969
Page 3284	6352	5777	6254	5176	1410	24969
Page 6064	8786	2443	3789	6998	2960	24976
Page 8330	4685	2458	9182	4046	4606	24977
Page 3979	4613	7945	4158	4243	4022	24981
Page 6845	3290	9691	1755	1605	8641	24982
Page 3029	3146	9086	5491	1985	5276	24984
Page 3985	1005	4764	7587	8718	2911	24985
Page 4264	7862	377	8687	213	7848	24987
Page 6801	8141	1476	2989	9845	2538	24989
Page 8257	2349	4183	891	8973	8595	24991
Page 3945	6709	4113	827	5713	7631	24993
Page 4683	5536	5029	1689	6917	5824	24995
Page 1693	8552	9456	1574	427	4988	24997
Page 2077	8596	4416	4175	2886	4928	25001
Page 8736	8304	695	4981	5883	5143	25006
Page 8183	5502	3653	298	6058	9498	25009
Page 7396	7993	1276	8270	1404	6070	25013
Page 1755	5748	2840	8274	2006	6145	25013
Page 7346	2845	3256	3686	7495	7733	25015
Page 3514	7378	7974	3727	2383	3554	25016
Page 8977	2974	7339	433	7346	6925	25017
Page 5974	1985	7125	3628	7914	4366	25018
Page 31	3047	9763	7154	219	4835	25018
Page 7266	4762	4021	8629	52	7558	25022
Page 4735	4195	3701	8415	7548	1166	25025
Page 3133	7934	6765	1289	4724	4316	25028
Page 5779	1601	5547	5572	7084	5228	25032
Page 2286	3731	6969	25	5682	8627	25034
Page 3559	3468	6453	7013	5917	2184	25035
Page 3724	1663	4517	5197	7490	6169	25036
Page 8295	1707	5117	5556	9514	3142	25036
Page 8217	8776	3644	2302	3978	6336	25036
Page 9100	2293	9008	1762	3760	8215	25038
Page 508	8338	4795	8146	2723	1037	25039
Page 1477	2009	5617	4050	8899	4465	25040
Page 177	1943	1438	5117	7473	9072	25043
Page 8181	3984	2895	8714	7621	1831	25045
Page 3214	8579	5588	3905	4957	2018	25047
Page 2231	4064	8369	3474	2799	6342	25048
Page 1893	9412	1292	202	9667	4475	25048
Page 2831	7779	2415	4644	1345	8866	25049
Page 2041	2816	6170	8222	528	7314	25050
Page 9005	5879	7782	2256	7263	1870	25050
Page 6003	2784	9799	68	3011	9390	25052
Page 6544	6288	3781	1145	4736	9103	25053
Page 2004	1742	744	5791	8776	8001	25054
Page 1415	530	6223	3906	4837	9561	25057
Page 1075	3554	7070	4836	8035	1565	25060
Page 9349	6437	3047	8282	1743	5552	25061
Page 2859	3261	337	5599	8832	7034	25063
Page 6983	5137	7117	9680	582	2550	25066
Page 1086	6253	4420	4018	2631	7746	25068
Page 5264	3033	8138	8032	3766	2102	25071
Page 6022	4080	3293	6596	4187	6915	25071
Page 7701	5389	6850	2522	1536	8776	25073
Page 8646	7598	3144	1089	4146	9097	25074
Page 6226	1325	1290	6642	6693	9124	25074
Page 6840	3596	7390	5246	1838	7004	25074
Page 6534	5673	710	7769	2347	8576	25075
Page 5578	6615	7021	888	7326	3226	25076
Page 7011	2758	5514	6527	472	9808	25079
Page 1608	3782	5315	4783	3153	8047	25080
Page 9719	5876	1485	6799	8125	2795	25080
Page 4077	2220	535	9297	3546	9483	25081
Page 2064	6171	128	5453	8917	4415	25084
Page 4928	8507	86	5717	1191	9585	25086
Page 9883	4112	3504	4970	4798	7702	25086
Page 4693	8412	3065	3482	2135	7993	25087
Page 5046	8025	5796	3504	1852	5911	25088
Page 9053	2392	4851	6976	6931	3939	25089
Page 9605	5431	6772	7302	5177	410	25092
Page 400	6994	9275	5546	2493	785	25093
Page 8320	2890	3457	7815	6578	4357	25097
Page 371	4585	4230	8535	3253	4496	25099
Page 8032	5876	2478	6192	7754	2800	25100
